2000-01-05	1465
2000-01-06	5211
2000-01-07	3814
2000-01-08	4292
2000-01-09	3965
2000-01-10	3515
2000-01-11	2677
2000-01-12	4758
2000-01-13	4051
2000-01-14	5001
2000-01-15	3542
2000-01-16	4095
2000-01-17	3915
2000-01-18	4075
2000-01-19	3520
2000-01-20	3564
2000-01-21	2711
2000-01-22	944
2000-01-23	2724
2000-01-24	2660
2000-01-25	3172
2000-01-26	2623
2000-01-27	2636
2000-01-28	2350
2000-01-29	3264
2000-01-30	2247
2000-01-31	1123
2000-02-01	5874
2000-02-02	3068
2000-02-03	8237
2000-02-04	4498
2000-02-05	3228
2000-02-06	3076
2000-02-07	2883
2000-02-08	3020
2000-02-09	3159
2000-02-10	2476
2000-02-11	2157
2000-02-12	3015
2000-02-13	2694
2000-02-14	3517
2000-02-15	2967
2000-02-16	3541
2000-02-17	4442
2000-02-18	3145
2000-02-19	2007
2000-02-20	3278
2000-02-21	2539
2000-02-22	2947
2000-02-23	2244
2000-02-24	2657
2000-02-25	2943
2000-02-26	2927
2000-02-27	4890
2000-02-28	3190
2000-02-29	2699
2000-03-01	9798
2000-03-02	3623
2000-03-03	2019
2000-03-04	2465
2000-03-05	3198
2000-03-06	2701
2000-03-07	3290
2000-03-08	3717
2000-03-09	2096
2000-03-10	2245
2000-03-11	3888
2000-03-12	2419
2000-03-13	3035
2000-03-14	3352
2000-03-15	3552
2000-03-16	2907
2000-03-17	2157
2000-03-18	3559
2000-03-19	2037
2000-03-20	2961
2000-03-21	4179
2000-03-22	2022
2000-03-23	2846
2000-03-24	2273
2000-03-25	1675
2000-03-26	1812
2000-03-27	1534
2000-03-28	2789
2000-03-29	2677
2000-03-30	3302
2000-03-31	2569
2000-04-01	2178
2000-04-02	2311
2000-04-03	2060
2000-04-04	3044
2000-04-05	3155
2000-04-06	1918
2000-04-07	1981
2000-04-08	2455
2000-04-09	1259
2000-04-10	2174
2000-04-11	2433
2000-04-12	2465
2000-04-13	1938
2000-04-14	1422
2000-04-15	2442
2000-04-16	2221
2000-04-17	2274
2000-04-18	2815
2000-04-19	2507
2000-04-20	2325
2000-04-21	1636
2000-04-22	2079
2000-04-23	1828
2000-04-24	2577
2000-04-25	2757
2000-04-26	3588
2000-04-27	2176
2000-04-28	1783
2000-04-29	2190
2000-04-30	2006
2001-01-01	3051
2001-01-02	6349
2001-01-03	6948
2001-01-04	6426
2001-01-05	4929
2001-01-06	5364
2001-01-07	6613
2001-01-08	5331
2001-01-09	7307
2001-01-10	5558
2001-01-11	5011
2001-01-12	4736
2001-01-13	4695
2001-01-14	4314
2001-01-15	3386
2001-01-16	5253
2001-01-17	5487
2001-01-18	4744
2001-01-19	3093
2001-01-20	3863
2001-01-21	6259
2001-01-22	3195
2001-01-23	4987
2001-01-24	6492
2001-01-25	5315
2001-01-26	5399
2001-01-27	5551
2001-01-28	6566
2001-01-29	3518
2001-01-30	7371
2001-02-01	4168
2001-02-02	6887
2001-02-03	5828
2001-02-04	5165
2001-02-05	3779
2001-02-06	5292
2001-02-07	5072
2001-02-08	5340
2001-02-09	4275
2001-02-10	4656
2001-02-11	5532
2001-02-12	4461
2001-02-13	5204
2001-02-14	6078
2001-02-15	5332
2001-02-16	4361
2001-02-17	4348
2001-02-18	5290
2001-02-19	4741
2001-02-20	6824
2001-02-21	5532
2001-02-22	5118
2001-02-23	4417
2001-02-24	4445
2001-02-25	4311
2001-02-26	4052
2001-02-27	5859
2001-02-28	5813
2001-03-01	5129
2001-03-02	5832
2001-03-03	5303
2001-03-04	4354
2001-03-05	5193
2001-03-06	5821
2001-03-07	6060
2001-03-08	3365
2001-03-09	4992
2001-03-10	4159
2001-03-11	4017
2001-03-12	2282
2001-03-13	5116
2001-03-14	6048
2001-03-15	4855
2001-03-16	3935
2001-03-17	3477
2001-03-18	4846
2001-03-19	3366
2001-03-20	4255
2001-03-21	4099
2001-03-22	2656
2001-03-23	4511
2001-03-24	3572
2001-03-25	2368
2001-03-26	2494
2001-03-27	4022
2001-03-28	3610
2001-03-29	2900
2001-03-30	3572
2001-03-31	3368
2001-04-01	4103
2001-04-02	1839
2001-04-03	3881
2001-04-04	3302
2001-04-05	3679
2001-04-06	4363
2001-04-07	4319
2001-04-08	2967
2001-04-09	1227
2001-04-10	5121
2001-04-11	5557
2001-04-12	4363
2001-04-13	3886
2001-04-14	3118
2001-04-15	3770
2001-04-16	3105
2001-04-17	4020
2001-04-18	3265
2001-04-19	3468
2001-04-20	3513
2001-04-21	3599
2001-04-22	2649
2001-04-23	2510
2001-04-24	4685
2001-04-25	3770
2001-04-26	3848
2001-04-27	4034
2001-04-28	3129
2001-04-29	2433
2001-04-30	2050
