10046.jpeg 54.0010 -7.8632 2.0016 237.3867 27.3542 158.5541 37.9508 5.8798 72.6209 
10047.jpeg 64.8883 -5.6208 6.0610 222.7791 15.8604 80.6276 37.2145 1.7184 8.9146 
10048.jpeg 58.9406 -8.6182 1.8522 191.6155 22.8405 142.3533 40.8383 12.3461 52.1540 
10049.jpeg 59.9364 -8.2176 4.7152 248.1243 25.3235 150.8573 48.1036 1.3152 46.1672 
11638.jpeg 24.9421 0.4154 4.5065 1275.0178 17.6200 97.2005 -26.9079 -13.2797 241.1719 
11640.jpeg 34.0293 -0.0507 7.5411 1477.4747 16.5198 153.9005 -41.0981 -19.2791 342.3730 
11642.jpeg 67.4086 -2.9191 17.2653 136.9514 6.2583 22.0589 17.0204 0.4702 -2.3962 
11643.jpeg 67.1954 -3.0177 17.5541 150.9162 6.4723 30.3282 15.9415 0.8759 -9.7423 
11644.jpeg 65.9551 -2.5967 17.1806 223.1056 13.5074 56.2042 0.3645 1.4769 -50.5402 
1970.jpeg 44.6652 -1.4637 -1.6127 489.2532 75.5029 307.9973 -128.6828 -125.3449 277.1873 
1971.jpeg 45.0928 -2.0936 -4.2416 339.4229 60.0168 250.0194 -85.3005 -89.4620 201.2279 
1972.jpeg 50.0973 -2.9177 1.7537 417.9778 62.0124 267.6555 -89.7885 -95.8027 218.4943 
1973.jpeg 47.8149 -2.5035 9.2238 446.9522 36.7429 183.4093 -74.0188 -52.6161 135.6015 
1974.jpeg 46.4529 -2.3966 -5.0836 344.2852 56.5135 237.4456 -83.7367 -86.0204 202.4560 
1975.jpeg 46.2303 -0.1613 -2.1432 443.6146 82.1249 333.2821 -132.5766 -137.5045 279.3501 
2131.jpeg 73.8942 0.2402 -3.5843 333.7284 24.7573 127.1393 17.5473 9.7055 -15.8567 
2132.jpeg 79.9576 -3.8069 -3.5044 281.1195 39.8761 82.9936 44.9177 35.7595 29.0365 
2133.jpeg 79.1719 0.8972 2.1048 342.5704 109.6859 111.4864 -48.8428 77.9688 -89.5631 
2134.jpeg 76.7649 2.7161 7.6753 303.6908 135.5798 149.0072 -17.1441 99.7990 -93.7277 
2135.jpeg 76.5967 -1.8309 -1.6791 318.0891 41.8043 97.8556 -36.0742 38.5814 -71.4600 
