10046.jpeg 0.8917 0.4321 1.0586 0.4693 1.8182 1.1352 2.0536 1.4229 1.0901 0.5988 1.0167 0.4609 1.0625 0.4150 1.6952 0.9012 1.6502 0.8881 1.0423 0.4274 1.0715 0.3789 1.0869 0.4226 1.4048 0.6228 1.4480 0.6160 1.0094 0.3103 
10047.jpeg 0.9210 0.4636 1.3759 0.9347 2.1212 1.5085 1.6122 1.0158 0.9737 0.4305 1.0824 0.5290 1.3414 0.7142 1.7831 1.0124 1.4875 0.7246 0.9108 0.3501 1.1754 0.4055 1.4344 0.7484 1.4314 0.6985 1.1003 0.4416 0.9119 0.2400 
10048.jpeg 0.8682 0.4536 0.9962 0.5051 1.6961 1.0105 1.7236 1.0478 1.1049 0.6519 0.9542 0.4759 1.0285 0.4274 1.4493 0.8595 1.4154 0.7277 1.0870 0.4981 1.0378 0.3538 1.1573 0.4002 1.2233 0.5871 1.1504 0.5641 1.0850 0.3403 
10049.jpeg 0.9804 0.5153 1.1655 0.5938 1.8788 1.2160 2.0645 1.3968 1.2573 0.7469 1.0600 0.5531 1.1214 0.4545 1.6826 1.0140 1.8332 1.0187 1.1820 0.5506 1.1834 0.4952 1.2060 0.4073 1.3586 0.5508 1.5282 0.7651 1.0507 0.3654 
11638.jpeg 0.5143 0.7154 0.5444 0.8462 0.8177 2.0198 0.6905 1.2672 0.4728 0.5761 0.6087 0.8765 0.8153 1.7105 1.1567 3.2752 0.8236 1.6613 0.5298 0.6558 0.9222 1.4545 1.3837 3.3116 1.9082 5.1241 1.1179 2.2976 0.6342 0.5758 
11640.jpeg 0.6400 1.1511 0.5522 0.7262 0.8527 1.6732 0.7416 1.1178 0.4901 0.4806 0.7693 1.6444 0.7919 1.3603 1.1745 2.5523 0.9057 1.5901 0.5605 0.5746 1.2786 2.5845 1.4298 2.9539 2.0862 4.9764 1.3239 2.5133 0.7891 0.7303 
11642.jpeg 0.1418 0.1016 0.1085 0.0109 0.2238 0.0710 0.1921 0.0547 0.0715 0.0071 0.2669 0.1740 0.3336 0.1292 0.5523 0.3651 0.4241 0.2848 0.1784 0.0465 0.5748 0.3431 0.7425 0.3816 0.9767 0.6873 0.6270 0.4106 0.3255 0.0956 
11643.jpeg 0.2881 0.1792 0.3037 0.1556 0.4868 0.4233 0.4494 0.3604 0.2524 0.1077 0.4122 0.3026 0.4922 0.3442 0.6606 0.5544 0.5382 0.4762 0.3349 0.1825 0.6453 0.4167 0.8045 0.4833 1.0110 0.7511 0.6629 0.4701 0.3983 0.1467 
11644.jpeg 0.9049 1.2651 0.8776 1.5694 1.0775 2.3206 1.0033 2.0731 0.7675 1.0901 0.7208 0.7578 0.7791 0.9196 0.8503 0.9606 0.7550 0.9692 0.6060 0.6562 0.7491 0.5114 0.9011 0.6359 1.0357 0.8506 0.7241 0.5690 0.5024 0.2459 
1970.jpeg 0.6489 0.5659 0.5850 0.3481 0.6908 0.5400 0.7738 0.6748 0.6017 0.4257 0.9077 0.8518 0.7420 0.5390 0.8657 0.8872 0.8962 0.7691 0.8556 0.6760 1.3957 1.2541 1.2504 1.0533 1.4626 1.4346 1.4452 1.2940 1.2270 0.9314 
1971.jpeg 0.6372 0.4629 0.6527 0.4091 0.9688 0.7633 1.0096 0.9021 0.6280 0.3747 0.8241 0.5440 0.7567 0.4491 0.9639 0.8114 1.0634 1.0294 0.7871 0.4517 1.2161 1.0759 1.1954 0.9075 1.3149 0.9163 1.3713 1.3178 0.9354 0.5196 
1972.jpeg 0.7678 0.7213 0.7038 0.6113 0.8859 0.5833 0.9968 0.7946 0.7040 0.4144 1.1774 1.1393 1.0388 0.8810 1.1345 0.8749 1.1556 0.8337 1.1316 0.7895 1.8879 1.5927 1.6085 1.4022 1.7306 1.1850 1.6990 1.3783 1.5229 0.8580 
1973.jpeg 0.6579 0.5061 0.6183 0.3531 0.8962 0.9040 0.8742 0.8168 0.6145 0.4567 0.9658 0.9257 0.7847 0.6061 0.9294 0.8858 1.0019 0.9274 0.8941 0.7288 1.5226 1.3370 1.2617 0.9888 1.4729 1.8524 1.4568 1.2725 1.3922 1.3364 
1974.jpeg 0.5741 0.3674 0.6347 0.3628 0.9457 0.7437 1.0060 0.8195 0.5901 0.3486 0.7789 0.4492 0.8004 0.4259 0.9723 0.7473 0.9965 0.7641 0.8004 0.4648 1.1079 1.0646 1.2190 1.0485 1.4774 1.2139 1.4555 1.3936 0.8669 0.5400 
1975.jpeg 0.6728 0.5164 0.5957 0.3731 0.7096 0.4545 0.7884 0.6058 0.6572 0.4544 0.8947 0.8443 0.7156 0.5362 0.8286 0.6404 0.8945 0.7330 0.9066 0.8593 1.4965 1.2934 1.1470 0.8971 1.2896 1.0132 1.4344 1.2594 1.3468 1.0960 
2131.jpeg 0.9852 0.9792 0.6639 0.5072 0.9095 1.2557 0.8071 1.0022 0.6620 0.4989 1.2953 1.5652 0.7047 0.4114 1.0547 1.4384 0.8190 0.8874 0.6833 0.3827 1.5804 1.2414 0.9535 0.4751 1.3310 1.3938 0.9001 0.6783 0.8472 0.3740 
2132.jpeg 0.7280 0.7760 0.7140 0.7195 1.1714 1.7840 1.0682 1.5937 0.6329 0.5923 0.8835 0.9267 0.7527 0.5407 1.1742 1.3711 0.9120 0.8480 0.6297 0.4338 0.9435 0.6378 0.9720 0.5283 1.4961 1.4051 0.9145 0.4555 0.5663 0.2059 
2133.jpeg 0.6343 0.7390 0.6551 0.6918 1.1650 1.3576 1.0368 1.1504 0.6636 0.7965 0.6831 0.6176 0.6948 0.4197 1.3896 1.4963 1.1193 1.0460 0.6572 0.5342 0.9727 0.8570 1.0391 0.5101 1.7964 1.7396 1.4483 1.3684 0.7596 0.5186 
2134.jpeg 0.6986 0.7286 0.6587 0.5784 0.9701 1.1242 0.9127 1.1149 0.6258 0.5410 0.9043 0.9238 0.7552 0.4749 1.0827 0.9128 0.9554 0.7746 0.7589 0.5868 1.3840 1.0749 1.0712 0.4201 1.5227 1.3978 1.2072 0.8377 0.9711 0.6117 
2135.jpeg 0.8026 0.6670 0.8414 0.6595 1.3195 1.5350 1.1895 1.2203 0.7851 0.5549 0.9809 0.7637 0.8812 0.5300 1.3525 1.1864 1.2204 0.9224 0.8287 0.4396 1.2213 0.9962 1.2628 0.9168 1.6612 1.1784 1.2376 0.7492 0.9132 0.3743 
2136.jpeg 0.9241 1.0421 0.8154 0.7788 1.0559 1.4120 0.9682 1.2548 0.7135 0.5775 1.0736 1.0030 0.9894 0.7694 1.2513 1.3971 1.0216 1.0890 0.7472 0.4978 1.2737 0.8813 1.5154 0.9384 1.4534 1.0650 1.2281 0.8633 0.9892 0.6168 
2137.jpeg 0.8110 0.7637 0.5692 0.4284 0.6472 0.8160 0.7156 0.9766 0.5937 0.5784 1.1226 1.4520 0.6822 0.3500 0.7047 0.6696 0.7654 0.8100 0.6927 0.5817 1.4620 1.4688 0.9034 0.2641 1.0216 0.9350 0.9067 0.6855 0.8030 0.4332 
2313.jpeg 0.6609 0.9536 0.5898 0.5646 1.1054 2.0845 0.9983 1.4827 0.5596 0.5328 0.8627 1.4637 0.6576 0.4503 1.0350 1.2067 0.8258 0.7099 0.6106 0.5772 0.9956 1.3150 0.9602 0.6640 1.5329 2.1077 1.0248 0.6959 0.7316 0.4534 
2314.jpeg 0.7713 1.0937 0.6297 0.6027 1.1503 1.5860 1.1317 1.6071 0.5827 0.5572 0.9201 1.7282 0.7246 0.7161 1.3233 1.6289 1.1952 1.6490 0.6590 0.6297 1.0022 1.1158 0.8553 0.3567 1.6060 1.6276 1.1455 0.9527 0.7185 0.4955 
2315.jpeg 0.6286 0.7555 0.3998 0.2250 0.6617 0.7092 0.5892 0.5628 0.3451 0.1776 0.6691 0.6983 0.4538 0.2019 0.7867 0.7956 0.6627 0.6347 0.3909 0.2116 0.5787 0.2678 0.6353 0.2821 1.2357 1.4776 0.8978 0.7141 0.4206 0.2462 
