10046.jpeg 151.4703 13.1700 54.0010 795.6344 78.2954 237.3867 -62.1360 -42.5402 -6.4115 
10047.jpeg 155.2794 10.1992 64.8883 587.3227 60.7936 222.7791 -79.0727 -40.5441 -26.3405 
10048.jpeg 152.5925 12.9963 58.9406 626.2686 73.9927 191.6155 -55.8541 -35.4173 -1.7328 
10049.jpeg 155.3568 13.1365 59.9364 701.9229 93.3755 248.1243 -69.3421 -42.1246 7.9591 
11638.jpeg 43.2397 6.9191 24.9421 3444.7874 87.4268 1275.0178 325.6747 196.5080 1624.8771 
11640.jpeg 57.0892 10.0715 34.0293 3849.3123 125.8539 1477.4747 442.5040 273.1375 1903.2609 
11642.jpeg 124.3212 17.6967 67.4086 779.7438 21.7458 136.9514 -2.9806 -4.9216 -128.5821 
11643.jpeg 125.3501 18.0058 67.1954 739.1707 29.8315 150.9162 -14.9280 -12.1745 -107.3940 
11644.jpeg 122.9912 17.7076 65.9551 912.4174 58.0717 223.1056 -24.2966 -56.8080 -24.8829 
1970.jpeg 94.4434 16.6309 44.6652 5100.2769 111.6560 489.2532 -99.7425 6.0583 1098.3295 
1971.jpeg 109.7916 15.9359 45.0928 5235.6528 78.4620 339.4229 -201.1801 -59.9706 729.5699 
1972.jpeg 110.1683 15.9444 50.0973 4229.5356 87.0328 417.9778 -107.1245 -24.2247 751.9310 
1973.jpeg 109.9336 14.2897 47.8149 3120.4231 107.3032 446.9522 139.0194 55.2593 767.4126 
1974.jpeg 112.9226 15.8824 46.4529 5307.9126 73.2976 344.2852 -258.9629 -65.3216 738.6883 
1975.jpeg 86.3130 17.1948 46.2303 4841.3730 124.3616 443.6146 -80.8675 5.8435 1017.9703 
2131.jpeg 88.6693 10.0907 73.8942 5855.1709 62.9805 333.7284 136.6912 -70.0446 -520.0108 
2132.jpeg 146.7732 9.0057 79.9576 1958.3824 68.5440 281.1195 1.6312 -92.6530 -79.3027 
2133.jpeg 123.9769 10.3701 79.1719 3464.7258 118.8691 342.5704 -387.1706 -81.9151 345.1040 
2134.jpeg 105.8782 13.3601 76.7649 3662.7576 172.3817 303.6908 -461.6847 -125.1544 182.5820 
2135.jpeg 138.3969 9.6500 76.5967 2989.3464 52.7095 318.0891 -153.7815 -52.9997 304.0503 
2136.jpeg 123.1611 9.0196 80.3361 3034.3169 54.1945 342.4126 -186.5162 -69.7483 218.2810 
2137.jpeg 102.8821 12.9240 78.9340 3828.4780 124.7369 253.0576 -433.2659 -87.3849 276.3523 
2313.jpeg 87.5349 15.5414 62.7047 6701.3516 82.9652 491.8674 145.5538 -79.0189 0.3765 
2314.jpeg 130.7249 13.5378 63.3796 3303.6433 41.8351 302.2314 75.0313 -20.0979 44.1566 
2315.jpeg 48.7362 9.6048 50.5012 1467.5798 56.8151 142.0079 10.9846 -28.8771 -20.9416 
2316.jpeg 151.6244 14.2937 57.7605 947.9249 77.1716 288.3507 59.2821 -72.5259 -49.8175 
2317.jpeg 149.0191 12.7365 54.4404 2013.1467 41.6719 450.1524 8.7471 -63.9776 207.8769 
2318.jpeg 161.7595 12.5621 61.2614 162.1864 33.8749 168.5418 23.0180 -43.7652 -59.4551 
2674.jpeg 82.5913 4.6700 86.7349 3727.6040 13.9785 248.4952 -8.5854 -14.2990 116.6397 
2675.jpeg 131.5645 7.3230 78.6858 2573.6917 26.5236 314.4148 22.7627 -53.1180 106.9887 
2676.jpeg 156.9855 6.8998 74.2298 326.7709 7.6644 195.7933 -13.8238 -21.8214 86.0874 
2677.jpeg 80.6993 6.0468 79.8633 4568.0688 11.5647 276.2424 27.7058 -11.3179 93.7251 
2678.jpeg 160.8838 13.3286 73.6839 2286.5457 27.0815 607.2380 17.8211 -28.0165 781.5397 
3050.jpeg 79.4433 18.8781 56.7555 1912.0046 98.9867 354.9398 -19.7029 -64.4604 366.1514 
3051.jpeg 104.8820 20.5622 63.8730 1321.2915 87.4955 237.2187 -61.0397 -75.5817 277.4499 
3052.jpeg 93.7520 15.7813 59.0499 1885.1332 91.8847 383.1911 -98.4565 -70.5752 570.1456 
3053.jpeg 95.0281 19.3876 58.4106 1542.4124 84.6088 318.4319 -39.9724 -72.7288 280.4532 
3054.jpeg 95.2948 19.6129 61.8859 1525.4978 82.2223 371.2643 -27.1144 -70.7663 314.2223 
3120.jpeg 125.6641 12.1750 61.8828 1286.8916 41.5762 410.6163 8.2026 -19.1580 325.0242 
3121.jpeg 124.9997 11.9312 65.7996 1232.1980 29.5416 372.8898 -19.2392 -8.7618 215.9529 
3122.jpeg 110.5157 12.9142 57.7611 2083.2424 32.5161 435.6833 27.9792 -19.8473 466.9240 
3123.jpeg 100.4318 12.5547 54.5129 2386.8672 43.0655 325.8156 104.6238 -12.0980 359.6266 
3124.jpeg 96.2455 11.8585 56.9111 2635.3428 41.7350 375.7863 5.0906 -11.4236 503.5517 
3125.jpeg 106.1450 11.0466 57.2378 2085.4485 43.2161 417.5987 39.7016 -3.5361 -88.3044 
3126.jpeg 108.8598 12.1586 63.1942 1738.7042 49.1541 422.4451 -27.4982 31.9569 -92.8090 
3127.jpeg 102.8940 10.6308 62.7584 2151.9258 37.2427 380.1959 39.7146 -32.7682 -17.6313 
3128.jpeg 113.5199 10.6836 57.1357 1896.3440 36.5787 445.0882 -24.1523 -18.0462 320.2768 
3161.jpeg 131.5419 14.0072 70.8577 178.3465 13.2191 48.9016 -1.9081 0.7520 -1.3312 
3162.jpeg 126.9312 16.2867 70.5542 404.9747 22.3347 83.5029 -17.6333 -19.1683 2.7248 
3163.jpeg 127.0620 13.1373 72.0063 569.3187 20.6726 46.6807 -36.7941 -12.2695 -14.7863 
3164.jpeg 121.5158 16.8586 70.2707 786.0771 40.8484 193.2028 -14.1284 -6.8652 120.9799 
3165.jpeg 134.5340 13.1936 69.1224 198.3989 20.5359 50.6190 -16.9555 -13.4005 10.2262 
3166.jpeg 126.6125 16.1210 73.1411 478.4199 22.6814 65.1642 -32.3873 -8.7746 31.0538 
3167.jpeg 134.0511 13.4360 72.8505 300.9514 23.0405 119.7987 -46.3689 -39.1396 110.6159 
3752.jpeg 107.1203 11.8291 58.4077 2090.1675 45.6222 370.4335 2.6991 -38.9078 420.0301 
3753.jpeg 108.7960 8.9888 54.1614 2404.0620 26.6406 477.2259 -73.0517 -46.4315 601.5666 
3754.jpeg 85.2137 8.7990 54.9646 2353.1438 17.7699 265.3327 -27.1825 -22.3781 507.9282 
3755.jpeg 117.2500 11.5980 57.5578 1774.0251 37.6727 266.3396 -70.1205 -33.4524 304.3353 
3756.jpeg 89.0266 9.2676 53.5717 2451.2168 14.2595 362.6323 -55.7432 -30.8944 722.7615 
3757.jpeg 107.9756 9.6246 55.3147 2053.9446 32.2982 356.6654 -27.5633 -33.5156 446.5793 
3758.jpeg 121.3402 12.7679 59.2665 1621.2339 46.3718 201.5816 7.6256 -41.6619 236.3009 
3822.jpeg 117.1126 12.4152 68.6199 1448.9994 53.2523 146.7433 -130.1122 -10.3071 -17.7819 
3823.jpeg 112.2492 11.8113 65.5941 1604.2924 49.2310 79.7861 -175.9290 31.6225 -181.2112 
3824.jpeg 115.4098 10.7311 63.6951 1626.2206 44.5020 81.4122 -174.1319 33.5937 -196.7612 
3825.jpeg 105.2013 13.6627 64.6216 1641.1953 56.6924 86.4028 -180.2516 26.8594 -110.0629 
3826.jpeg 99.4794 16.1343 65.2831 1610.8914 73.5407 75.0866 -232.7271 16.1764 -86.6618 
3827.jpeg 113.8415 14.2690 70.7131 1376.4591 56.9878 80.4070 -178.7067 30.8695 -106.9208 
3828.jpeg 123.1616 12.6622 64.9633 1013.6620 49.3197 66.7950 -162.0946 2.6541 -47.4704 
4025.jpeg 135.4674 4.2842 83.2355 3922.9309 4.7933 165.5851 -33.3067 -6.3198 -271.9959 
4026.jpeg 51.1870 7.4572 81.9522 2438.0225 9.5339 74.6407 -57.3018 4.6989 -46.6831 
4027.jpeg 130.4716 12.8507 64.5312 4928.2485 63.9335 326.1933 -39.0276 -40.5298 811.7636 
4028.jpeg 66.0397 8.8842 72.7847 5799.8516 32.6814 264.3148 144.8633 -43.0538 -317.9075 
4029.jpeg 56.7969 6.3612 79.9772 4211.8926 15.5319 118.9469 157.0218 2.5473 53.2210 
4039.jpeg 69.7685 5.4573 81.2794 5364.5879 12.4477 229.3314 40.7487 -12.4223 42.6221 
404.jpeg 146.8693 32.7240 58.2067 125.6994 218.1896 162.0488 -100.6695 -42.8475 4.3082 
4040.jpeg 110.1620 7.6186 78.3479 6205.8931 24.5188 289.4642 152.3925 -42.7410 -77.2356 
4041.jpeg 43.3606 7.3357 76.1569 2921.1353 12.3324 118.9101 32.3761 4.9943 -37.5221 
4042.jpeg 72.1534 6.6175 76.9153 5672.3066 17.9529 239.3126 89.2427 -24.9934 227.1176 
4052.jpeg 95.8182 9.3498 70.5243 3796.8921 16.6215 127.5402 80.1971 -6.2800 198.5022 
4053.jpeg 104.3964 6.8044 73.1215 3477.0815 16.4301 69.1368 34.5195 -8.9682 142.2270 
4054.jpeg 82.3970 3.0653 66.9423 4065.3416 8.4265 618.2561 0.7931 -40.3776 271.9253 
4055.jpeg 73.9137 5.4275 65.7179 2176.4143 23.5693 435.6964 73.7263 -49.7052 -237.3096 
4056.jpeg 78.7783 7.0110 65.8973 2208.8518 32.9412 248.0816 31.3073 -36.2127 30.9613 
4066.jpeg 101.1816 12.0686 70.3174 1397.1621 17.1610 72.9157 2.0262 -19.7350 77.7082 
4067.jpeg 84.9095 11.1385 61.8186 1996.0792 35.5036 120.7572 -79.4946 -38.3919 162.1909 
4068.jpeg 136.4195 8.4067 70.0060 1984.0388 29.4702 130.8158 -52.3468 -24.9103 243.8907 
4069.jpeg 47.9033 17.2632 56.5933 392.6979 110.3185 435.5509 -31.7033 -124.0183 160.8315 
407.jpeg 144.0372 22.5995 61.3980 3725.9194 125.3463 363.3419 -273.0744 -162.7901 797.4341 
4244.jpeg 160.1578 11.7690 73.1061 1854.6202 32.5962 242.6725 87.3217 37.3072 395.5269 
